"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Allied Advanced Technologies S.A - Bauru Shopping - KIOSQUE",2,20000000000000,"Bauru Shopping","Allied Advanced Technologies S.A","B","SP","Bauru","Vila Cidade Universitaria ","R Henrique Savi, 55 -Quadra 15- Andar: 1; Quiosq: Qun17; Quadra: 15; 
 

 

"," -"," -"," -",,,,,,
"Allied Advanced Technologies S.A - Botafogo Praia Shop - LOJA",2,20000000000000,"Botafogo Praia Shop","Allied Advanced Technologies S.A","A","RJ","Rio de Janeiro","Botafogo ","Praia De Botafogo"," N� 400 LJ 147148 - Cep: 22250-040  - Botafogo - Rio De Janeiro - Rj"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Boulevard Shopping Na��es Bauru - LOJA",2,20000000000000,"Boulevard Shopping Na��es Bauru","Allied Advanced Technologies S.A","C","SP","Bauru","Chacara Das Folres ","Rua General Marcondes Salgado"," 11-39 Lojas 162 E 163 Bauru S�o Paulo Cep 17013-113"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Bourbon Shopping - LOJA",2,20000000000000,"Bourbon Shopping","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Perdizes ","Rua Turiass�"," 2100 - Loja Suc T003�- Barra Funda - S�o Paulo (Sp) - Cep: 05005-900"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Caxias Shopping - KIOSQUE",2,20000000000000,"Caxias Shopping","Allied Advanced Technologies S.A","C","RJ","Duque de Caxias","Parque Duque ","Rod. Washington Luis",2895," Quiosque Q11"," Parque Duque - Duque De Caxias - Rj"," -"," -"," -",,,
"Allied Advanced Technologies S.A - Centervale Shopping - LOJA",2,20000000000000,"Centervale Shopping","Allied Advanced Technologies S.A","B","SP","S�o Jos� dos Campos","Jardim Oswaldo Cruz ","Av Deputado Benedito Matarazzo",9403," Lojas Uso Comercial N. 164"," Jardim Oswaldo Cruz"," Sao Jose Dos Campos - Sp"," -"," -"," -",,
"Allied Advanced Technologies S.A - ETNA Marginal Tiete - ETNA",2,20000000000000,"ETNA Marginal Tiete","Allied Advanced Technologies S.A","C","SP","S�o Paulo","Tatuape","Av. Condessa Elizabeth de Robiano"," 2000 - Tatuape - Piso Terreo (entrada principal)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - ETNA Marginal Tiete - KIOSQUE",2,20000000000000,"ETNA Marginal Tiete","Allied Advanced Technologies S.A","A","SP","Mar�lia","Tatuape","Av. Condessa Elizabeth de Robiano"," 2000 - Tatuape - Piso Terreo (entrada principal)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - ETNA Marginal Tiete - KIOSQUE",2,20000000000000,"ETNA Marginal Tiete","Allied Advanced Technologies S.A","C","SP","S�o Paulo","Tatuape","Av. Condessa Elizabeth de Robiano"," 2000 - Tatuape - Piso Terreo (entrada principal)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Golden Square Shopping - KIOSQUE",2,20000000000000,"Golden Square Shopping","Allied Advanced Technologies S.A","C","SP","S�o Paulo","Jardim do mar","Av. Kennedy",700," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Jundiai Shopping - LOJA",2,20000000000000,"Jundiai Shopping","Allied Advanced Technologies S.A","B","SP","Jundiai","Vianelo ","Av Nove De Julho, 3333 Lojas Uso Comercial N 162 Cep 13208-056 Bairro Vianelo -Jundiai- Sp


"," -"," -"," -",,,,,,
"Allied Advanced Technologies S.A - Mar�lia Shopping - KIOSQUE",2,20000000000000,"Mar�lia Shopping","Allied Advanced Technologies S.A","C","SP","MARILIA"," Jardim Maria Martha","Rua dos Tucunar�s",500," quiosque Q-13"," Jardim Maria Martha"," CEP 17507-280"," Mar�lia"," SP"," -"," -"," -"
"Allied Advanced Technologies S.A - Maxi Shopping Jundiai - KIOSQUE",2,20000000000000,"Maxi Shopping Jundiai","Allied Advanced Technologies S.A","C","SP","Jundiai","Vila Rio Branco","Avenida Antonio Frederico Ozanam"," 6000- Vila Rio Branco Jundiai Sp Cep 13215-900"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Mooca Plaza Shopping - LOJA",2,20000000000000,"Mooca Plaza Shopping","Allied Advanced Technologies S.A","B","SP","S�o Paulo","Mooca ","Rua Capitao Pacheco Chaves",313," Loja 2717"," Piso 2"," -"," -"," -",,,
"Allied Advanced Technologies S.A - Norte Shopping Rio de Janeiro - LOJA",2,20000000000000,"Norte Shopping Rio de Janeiro","Allied Advanced Technologies S.A","A","RJ","Rio de Janeiro","Cachambi ","Av Dom Helder Camara"," 5.332 (Luc) - 2093 Norte Shopping Cep: 20771-004 - Cachambi -  Rio De Janeiro (Rj)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Park Shopping Campo Grande - LOJA",2,20000000000000,"Park Shopping Campo Grande","Allied Advanced Technologies S.A","B","RJ","Rio de Janeiro","Campo Grande","Est Do Monteiro"," 1200- Loja 107 Piso L1- Campo Grande Rio De Janeiro"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - ParkShopping S�o Caetano - LOJA",2,20000000000000,"ParkShopping S�o Caetano","Allied Advanced Technologies S.A","B","SP","S�o Caetano","Ceramica ","Al Terracota"," 545 - Lojas Uso Comercial N 1.063"," -"," -"," -",,,,,
