Nome,CNPJ,Razao,REDE,Cluster,Estado,Cidade,Bairro,Endereco,Numero,Complemento,Pontos
Allied Advanced Technologies S.A - Bauru Shopping - KIOSQUE,20247322004053,Bauru Shopping,NEOR-001,B,SP,Bauru,Vila Cidade Universitaria ,"R Henrique Savi, 55 -Quadra 15- Andar: 1; Quiosq: Qun17; Quadra: 15; 
 

 

",,,
Allied Advanced Technologies S.A - Botafogo Praia Shop - LOJA,20247322002514,Botafogo Praia Shop,NEOR-001,A,RJ,Rio de Janeiro,Botafogo ,"Praia De Botafogo, Nº 400 LJ 147148 - Cep: 22250-040  - Botafogo - Rio De Janeiro - Rj",,,
Allied Advanced Technologies S.A - Boulevard Shopping Nações Bauru - LOJA,20247322003910,Boulevard Shopping Nações Bauru,NEOR-001,C,SP,Bauru,Chacara Das Folres ,"Rua General Marcondes Salgado, 11-39 Lojas 162 E 163 Bauru São Paulo Cep 17013-113",,,
Allied Advanced Technologies S.A - Bourbon Shopping - LOJA,20247322005882,Bourbon Shopping,NEOR-001,A,SP,São Paulo,Perdizes ,"Rua Turiassú, 2100 - Loja Suc T003 - Barra Funda - São Paulo (Sp) - Cep: 05005-900",,,
Allied Advanced Technologies S.A - Caxias Shopping - KIOSQUE,20247322003324,Caxias Shopping,NEOR-001,C,RJ,Duque de Caxias,Parque Duque ,"Rod. Washington Luis, 2.895, Quiosque Q11, Parque Duque - Duque De Caxias - Rj",,,
Allied Advanced Technologies S.A - Centervale Shopping - LOJA,20247322001704,Centervale Shopping,NEOR-001,B,SP,São José dos Campos,Jardim Oswaldo Cruz ,"Av Deputado Benedito Matarazzo, 9403, Lojas Uso Comercial N. 164, Jardim Oswaldo Cruz, Sao Jose Dos Campos - Sp",,,
Allied Advanced Technologies S.A - ETNA Marginal Tiete - ETNA,20247322006188,ETNA Marginal Tiete,NEOR-001,C,SP,São Paulo,Tatuape,"Av. Condessa Elizabeth de Robiano, 2000 - Tatuape - Piso Terreo (entrada principal)",,,
Allied Advanced Technologies S.A - ETNA Marginal Tiete - KIOSQUE,20247322000147,ETNA Marginal Tiete,NEOR-001,A,SP,Marília,Tatuape,"Av. Condessa Elizabeth de Robiano, 2000 - Tatuape - Piso Terreo (entrada principal)",,,
Allied Advanced Technologies S.A - ETNA Marginal Tiete - KIOSQUE,20247322006269,ETNA Marginal Tiete,NEOR-001,C,SP,São Paulo,Tatuape,"Av. Condessa Elizabeth de Robiano, 2000 - Tatuape - Piso Terreo (entrada principal)",,,
Allied Advanced Technologies S.A - Golden Square Shopping - KIOSQUE,20247322000813,Golden Square Shopping,NEOR-001,C,SP,São Paulo,Jardim do mar,"Av. Kennedy, 700",,,
Allied Advanced Technologies S.A - Jundiai Shopping - LOJA,20247322000732,Jundiai Shopping,NEOR-001,B,SP,Jundiai,Vianelo ,"Av Nove De Julho, 3333 Lojas Uso Comercial N 162 Cep 13208-056 Bairro Vianelo -Jundiai- Sp


",,,
Allied Advanced Technologies S.A - Marília Shopping - KIOSQUE,20247322005297,Marília Shopping,NEOR-001,C,SP,MARILIA, Jardim Maria Martha,"Rua dos Tucunarés, 500, quiosque Q-13, Jardim Maria Martha, CEP 17507-280, Marília, SP",,,
